"date","region_code","region_name","lat","long","hospitalized_with_symptoms","intensive_care","total_hospitalized","home_confinement","cumulative_positive_cases","daily_positive_cases","recovered","death","cumulative_cases","total_tests","total_people_tested","region_spatial"
2020-02-24,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,5,NA,"Abruzzo"
2020-02-24,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,NA,"Basilicata"
2020-02-24,4,"P.A. Bolzano",46.49933453,11.35662422,0,0,0,0,0,0,0,0,0,1,NA,"Trentino-Alto Adige"
2020-02-24,18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,1,NA,"Calabria"
2020-02-24,15,"Campania",40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,10,NA,"Campania"
2020-02-24,8,"Emilia-Romagna",44.49436681,11.3417208,10,2,12,6,18,0,0,0,18,148,NA,"Emilia-Romagna"
2020-02-24,6,"Friuli Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,58,NA,"Friuli-Venezia Giulia"
2020-02-24,12,"Lazio",41.89277044,12.48366722,1,1,2,0,2,0,1,0,3,124,NA,"Lazio"
2020-02-24,7,"Liguria",44.41149315,8.9326992,0,0,0,0,0,0,0,0,0,1,NA,"Liguria"
2020-02-24,3,"Lombardia",45.46679409,9.190347404,76,19,95,71,166,0,0,6,172,1463,NA,"Lombardia"
2020-02-24,11,"Marche",43.61675973,13.5188753,0,0,0,0,0,0,0,0,0,16,NA,"Marche"
2020-02-24,14,"Molise",41.55774754,14.65916051,0,0,0,0,0,0,0,0,0,0,NA,"Molise"
2020-02-24,1,"Piemonte",45.0732745,7.680687483,2,0,2,1,3,0,0,0,3,141,NA,"Piemonte"
2020-02-24,16,"Puglia",41.12559576,16.86736689,0,0,0,0,0,0,0,0,0,0,NA,"Apulia"
2020-02-24,20,"Sardegna",39.21531192,9.110616306,0,0,0,0,0,0,0,0,0,1,NA,"Sardegna"
2020-02-24,19,"Sicilia",38.11569725,13.3623567,0,0,0,0,0,0,0,0,0,5,NA,"Sicily"
2020-02-24,9,"Toscana",43.76923077,11.25588885,0,0,0,0,0,0,0,0,0,140,NA,"Toscana"
2020-02-24,4,"P.A. Trento",46.06893511,11.12123097,0,0,0,0,0,0,0,0,0,3,NA,"Trentino-Alto Adige"
2020-02-24,10,"Umbria",43.10675841,12.38824698,0,0,0,0,0,0,0,0,0,0,NA,"Umbria"
2020-02-24,2,"Valle d'Aosta",45.73750286,7.320149366,0,0,0,0,0,0,0,0,0,7,NA,"Valle d'Aosta"
2020-02-24,5,"Veneto",45.43490485,12.33845213,12,4,16,16,32,0,0,1,33,2200,NA,"Veneto"
2020-02-25,13,"Abruzzo",42.35122196,13.39843823,0,0,0,0,0,0,0,0,0,5,NA,"Abruzzo"
2020-02-25,17,"Basilicata",40.63947052,15.80514834,0,0,0,0,0,0,0,0,0,0,NA,"Basilicata"
2020-02-25,4,"P.A. Bolzano",46.49933453,11.35662422,1,0,1,0,1,1,0,0,1,1,NA,"Trentino-Alto Adige"
2020-02-25,18,"Calabria",38.90597598,16.59440194,0,0,0,0,0,0,0,0,0,2,NA,"Calabria"
2020-02-25,15,"Campania",40.83956555,14.25084984,0,0,0,0,0,0,0,0,0,10,NA,"Campania"
2020-02-25,8,"Emilia-Romagna",44.49436681,11.3417208,15,2,17,9,26,8,0,0,26,391,NA,"Emilia-Romagna"
2020-02-25,6,"Friuli Venezia Giulia",45.6494354,13.76813649,0,0,0,0,0,0,0,0,0,89,NA,"Friuli-Venezia Giulia"
2020-02-25,12,"Lazio",41.89277044,12.48366722,1,1,2,0,2,0,1,0,3,124,NA,"Lazio"
2020-02-25,7,"Liguria",44.41149315,8.9326992,1,0,1,0,1,1,0,0,1,39,NA,"Liguria"
2020-02-25,3,"Lombardia",45.46679409,9.190347404,79,25,104,127,231,65,0,9,240,3700,NA,"Lombardia"
